inspection_ref,permit_id,date,time,inspection_type,critical_violations,non_critical_violations,critical_violations_corrected_on_site,critical_violations_to_be_resolved,non_critical_violations_corrected_on_site,non_critical_violations_to_be_resolved
94237,3974,8/3/12,18:30,Routine,1,0,1,0,0,0
118540,6476,1/27/12,10:30,Preoperational,1,1,1,0,0,0
166089,6764,6/8/12,10:33,Preoperational,0,0,0,0,0,0
155535,6994,8/27/12,14:02,Ownership change,2,1,2,0,1,0
9985,5340,10/29/10,11:55,Follow-up,0,1,0,0,0,0
9984,5340,10/27/10,11:00,License transfer,0,4,0,0,0,0
21157,3640,4/14/11,14:09,Follow-up,0,0,0,0,0,0
130094,3640,3/15/11,11:59,Routine,4,2,0,0,0,0
142212,4408,3/15/12,13:23,Follow-up,0,0,0,0,0,0
116627,4408,2/27/12,13:28,Routine,3,0,1,1,0,0
140266,4408,10/6/11,11:00,Routine,4,0,0,0,0,0
134147,4408,5/3/11,12:30,Routine,3,4,3,0,0,0
10092,4408,11/8/10,14:50,Follow-up,2,0,2,0,0,0
10077,4408,11/5/10,12:30,Follow-up,1,2,1,0,2,0
10430,4408,6/14/10,14:15,Follow-up,0,0,0,0,0,0
9918,4408,6/7/10,13:45,Complaint,3,0,0,0,0,0
142433,6132,4/26/12,13:00,Follow-up,0,0,0,0,0,0
142397,6132,4/18/12,14:24,Complaint,2,2,0,2,0,2
142213,6132,3/15/12,14:48,Follow-up,0,0,0,0,0,0
142124,6132,2/22/12,11:00,Routine,2,2,1,0,0,0
21494,6132,10/5/11,13:30,Follow-up,0,0,0,0,0,0
21462,6132,9/29/11,13:51,Routine,10,15,6,0,4,0
166105,5137,6/15/12,13:39,Routine,3,0,3,0,0,0
118403,5137,9/30/11,11:37,Routine,4,5,4,0,0,0
8681,5137,8/23/10,12:30,Follow-up,0,0,0,0,0,0
158133,1207,5/21/12,11:32,Complaint,1,3,0,0,2,0
102272,1207,8/9/11,12:15,Follow-up,2,0,2,0,0,0
21277,1207,8/3/11,12:15,Complaint,4,1,3,0,0,0
21206,1206,7/18/11,13:20,License Renewal,0,1,0,0,1,0
8877,1207,9/1/10,10:15,Routine,3,1,0,0,0,0
9793,1206,6/30/10,10:30,Follow-up,0,0,0,0,0,0
9952,1207,6/14/10,14:15,Routine,2,3,1,0,1,0
155397,6709,8/2/12,19:48,Follow-up,1,1,0,0,0,0
136596,6709,5/11/12,11:00,Preoperational,3,3,1,0,0,0
102310,5311,9/13/11,11:10,Follow-up,0,0,0,0,0,0
102295,5311,8/25/11,12:02,Complaint,4,5,2,0,1,0
9678,5311,10/4/10,11:13,Follow-up,0,0,0,0,0,0
9676,5311,8/24/10,10:28,Complaint,2,2,0,0,1,0
104489,5300,11/7/11,14:45,Routine,1,1,1,0,0,0
9582,5300,4/19/10,14:55,Preoperational,2,2,1,0,0,0
104241,5852,6/9/11,10:10,Preoperational,1,1,1,0,0,0
104099,3019,3/3/11,13:00,Routine,0,1,0,0,0,0
122763,6497,3/29/12,12:22,Follow-up,0,1,0,0,0,0
21972,6497,2/6/12,12:30,Routine,3,3,1,0,1,0
155506,2540,8/23/12,17:45,Routine,3,7,0,0,0,0
104354,2540,8/24/11,14:50,Complaint,1,1,0,0,0,0
102259,2540,7/25/11,16:00,Follow-up,0,0,0,0,0,0
21209,2540,7/18/11,14:20,License Renewal,2,4,0,0,0,0
122829,2579,5/3/12,14:15,Routine,3,0,3,0,0,0
122541,2579,12/6/11,11:41,Routine,4,1,2,0,0,0
9792,3971,6/30/10,11:45,Follow-up,0,0,0,0,0,0
21124,5845,6/6/11,14:05,OWNERSHIP NAME CHANGE,1,6,1,0,3,0
118459,2084,11/7/11,13:30,Routine,1,0,1,0,0,0
7986,2084,7/28/10,23:00,Follow-up,0,1,0,0,0,0
7789,2084,7/16/10,10:30,Routine,1,2,0,0,0,0
21620,6115,11/1/11,15:10,Follow-up,0,0,0,0,0,0
21550,6115,10/17/11,11:00,Preoperational,2,3,0,0,0,0
155375,5626,8/16/12,18:55,Follow-up,1,0,0,0,0,0
153208,5626,7/19/12,17:45,Routine,3,0,0,0,0,0
104131,5626,3/23/11,12:00,Change of Ownership,0,0,0,0,0,0
9293,1658,9/23/10,17:16,Routine,5,5,2,0,2,0
143271,6566,3/12/12,12:50,Preoperational,0,1,0,0,0,0
142278,2415,3/27/12,10:31,Follow-up,0,0,0,0,0,0
153138,2415,3/23/12,13:30,Routine,3,1,1,0,0,0
9072,2415,9/14/10,12:30,Routine,2,2,2,0,1,0
126227,3047,3/14/12,14:22,Routine,3,11,0,0,5,0
